7
5
5
7
49
350
20

5
300
100
5000

974 998 1006 990 1010

500 500 500 100 500

2 2 2 2 2 2 2

0 0 0 0 0

20 12 7 5 15 30 20

10 5 6 14 12

15  15  15  24  12
15  12  13  16  12
12  15  11  13  8
13  11  12  12  12
12  12  11  15  11
7   7   3   6   5
5   6   3   4   5

1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1

73	85
67	2
6	4
67	83
91	5
82	97
25	90
79	48
33	96
39	2
98	76
6	31
60	88
