15
5
5
15
64
1000
13


5
300
100
10000

5025 5024 4804 5062 5158

100 100 100 500 100

2 2 2 2 2 2 2 2 2 2 2 2 2 2 2

0 0 0 0 0

20 12 7 5 20 30 30 15 13 15 10 5 6 45 10

10 5 6 7 10

 2  7  2  7  12
 8  6  7  7  16
 5  5  7  9  10
 11 10 11 0  17
 8  8  8  8  15
 6  15 20 18 26
 7  7  0  6  10
 2  0  3  1  5
 17 12 11 13 24
 6  9  5  3  8
 15 14 14 15 30
 11 13 5  9  23
 14 15 19 12 23
 8  9  3  9  16
 5  2  17 6  17

 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1

1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1

69	72
58	28
83	71
79	47
56	32
5	21
82	14
24	90
6	68
61	63
22	44
67	86
21	48
73	36
5	99
97	74
72	56
2	7
79	33
6	35
17	11
