15
5
5
15
47
5000
17


5
300
100
4000

8176 7843 8085 7657 7896

500 500 500 100 100

2 2 2 2 2 2 2 2 2 2 2 2 2 2 2

0 0 0 0 0

20 12 10 5 10 15 20 15 13 15 10 5 6 45 10

10 14 3 10 12

 14  13  14  15  27
 10  10  10  10  20
 14  13  11  12  23
 16  15  15  14  32
 2  4  5  7  10
 6  10  8  12  23
 9  9  9  9  17
 13  9  12  11  24
 12  11  13  12  25
 13  9  15  13  23
 15  16  15  12  29
 9  13  5  6  21
 6  8  9  6  16
 12  12  12  14  19
 9  9  12  7  17

 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1

 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1
 1 1 1 1 1

39	5
32	86
26	74
97	98
21	37
17	22
33	2
25	6
21	77
91	38
85	37
30	66
15	46
7	36
76	87
70	16
44	54
54	70
28	51
68	1
41	38
