7
5
5
7
17
5000
12

5
300
100
4000

7764 7963 8436 7766 8428

500 100 500 500 500

2 2 2 2 2 2 2

0 0 0 0 0

20 12 7 5 20 70 15

10 5 65 15 90

13  13  14  13  14
16  9  15  7  11
8  13  4  18  17
13  18  7  12  17
9  12  11  11  12
10  10  10  10  10
6  6  5  6  7

1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1

60	77
94	88
69	5
76	55
32	90
30	7
9	29
69	32
80	4
24	27
31	65
11	68
22	23
